"","D","y"
"1",0,-0.0626453810742332
"2",0.111111111111111,-0.122348726738811
"3",0.222222222222222,0.578358635803785
"4",0.333333333333333,-0.328916857448951
"5",0.444444444444444,0.518457915725597
"6",0.555555555555556,0.0854103085888956
"7",0.666666666666667,0.564694034403439
"8",0.777777777777778,0.644629236291887
"9",0.888888888888889,0.860311346898294
"10",1,0.969461161284364
"11",0,0.151178116845085
"12",0.111111111111111,-0.101728735519877
"13",0.222222222222222,0.59979743899061
"14",0.333333333333333,-0.709914926380481
"15",0.444444444444444,0.598000230358372
"16",0.555555555555556,0.162963786099174
"17",0.666666666666667,0.514332102850696
"18",0.777777777777778,0.665180386847495
"19",0.888888888888889,0.884855331242754
"20",1,1.05939013212175
