"D","y"
0,-0.0626453810742332
0.04,0.268775685576026
0.13,-0.487675035665936
0.26,1.17213654235125
0.416666666666667,0.386561888292647
0.583333333333333,0.196587103749538
0.74,0.538232598987646
0.87,0.862332721839985
0.96,0.950585594750492
1,0.969461161284364
0,0.151178116845085
0.04,0.289395676794961
0.13,-0.466236232479111
0.26,0.791138473419724
0.416666666666667,0.466104202925422
0.583333333333333,0.274140581259816
0.74,0.487870667434903
0.87,0.882883872395594
0.96,0.975129579094952
1,1.05939013212175
