"test","sa1","sa2","sa3","sa4"
0,0.000999999449454628,0.00237516139218879,0.534960665897349,0.325442262274527
0.00333333333333333,0.0404138979610349,0.00830771066991375,0.498351281964844,0.283907857030426
0.00666666666666667,0.0795997175031122,0.0161314074774617,0.460556222821262,0.242029153778808
0.01,0.117348526476946,0.0214670414913259,0.421709826304063,0.200012179952162
0.0133333333333333,0.153429915469152,0.0243696843163114,0.381962790496506,0.158073268735654
0.0166666666666667,0.187622032707145,0.0249408839673148,0.341481466538152,0.116437420151793
0.02,0.219711725646672,0.0233157944229882,0.300446926600195,0.0753367764908147
0.0233333333333333,0.249496394590383,0.0196606263829379,0.259053811020456,0.0350114274792987
0.0266666666666667,0.276786008308004,0.0141720218805078,0.217508963221924,0.0044414665857791
0.03,0.301405088468743,0.00708849488607851,0.176029868394513,0.0424167564505415
0.0333333333333333,0.323194606117204,0.00178697045487237,0.134842929963902,0.0790053688931773
0.0366666666666667,0.342013759094109,0.0111439178956094,0.094181691225728,0.113882163319303
0.04,0.357741606718514,0.0215840444089574,0.0542856326762724,0.146819675124111
0.0433333333333333,0.370278541424386,0.0325953063023654,0.0154122590479376,0.177601836368515
0.0466666666666667,0.379547579410616,0.0438738416538626,0.0222953526966395,0.206024705048819
0.05,0.385495454510539,0.055120904335129,0.0584518815881586,0.23189851732258
0.0533333333333333,0.388093501645005,0.066041026916548,0.0929032584421833,0.255049836582089
0.0566666666666667,0.387338318457251,0.0763454699954134,0.125414274791462,0.275323625089356
0.06,0.38325219604793,0.0857563580997785,0.155767321259515,0.292585180572312
0.0633333333333333,0.375883312124368,0.0940108492941236,0.183757932175549,0.306721903618956
0.0666666666666667,0.365305682331148,0.100865143014267,0.209196580398413,0.317644869168811
0.07,0.351618868018702,0.106098223109246,0.231910869371413,0.325290179313451
0.0733333333333333,0.334947441211912,0.10951526152469,0.251747687385922,0.32962007769565
0.0766666666666667,0.315440210043735,0.110950622011049,0.268575226894011,0.330623808753305
0.08,0.293269210408579,0.110270413644405,0.28228482397537,0.328318208090007
0.0833333333333333,0.268628472073101,0.107374553731763,0.292792586367401,0.322748013414832
0.0866666666666667,0.241732570010229,0.102198309760937,0.300040784041966,0.313985888772214
0.09,0.212814974478745,0.0947133009842384,0.303998980095423,0.30213215815225
0.0933333333333333,0.182126216962859,0.0849279531550466,0.304664883144331,0.287314248000154
0.0966666666666667,0.149931895717417,0.0728874191668866,0.302064905879995,0.269685841600654
0.1,0.116510563876515,0.0586730234316285,0.296254418032831,0.249425751781953
0.103333333333333,0.0821516294823735,0.0424014767035109,0.287317685740583,0.226736521883164
0.106666666666667,0.0471540554444556,0.024225634832374,0.275367493178375,0.201842768579681
0.11,0.0118449954709727,0.00440521565961412,0.260544446259072,0.174989284398642
0.113333333333333,0.0235921153683075,0.0171756529000319,0.243015962219432,0.146438924144789
0.116666666666667,0.0586797176395445,0.0398842832477934,0.222974952963649,0.116470314388148
0.12,0.0931994894327371,0.063637835601066,0.200638214200864,0.0853754817646278
0.123333333333333,0.126844447646032,0.0881529431599159,0.176244536949011,0.0534578490125176
0.126666666666667,0.159321717176002,0.113139432172074,0.150052563823762,0.0210363009811687
0.13,0.190349187632996,0.138297480931032,0.122338423299683,0.0116665336683719
0.133333333333333,0.219657394154082,0.163320851372517,0.0933932075249671,0.0441546203074005
0.136666666666667,0.246991758773282,0.187900758131214,0.0635205188639759,0.0762377242715881
0.14,0.272114797522026,0.211729829118946,0.0330357852825197,0.107580605809175
0.143333333333333,0.294808208015997,0.234506011584282,0.00244374295707283,0.137877191002059
0.146666666666667,0.314874801830004,0.255936347196403,0.0285567587563169,0.166832945478785
0.15,0.332140258501528,0.275740559613939,0.0589745579043272,0.194166561735844
0.153333333333333,0.346454682875105,0.293654407530876,0.0887397063432167,0.219612472641521
0.156666666666667,0.357693950415429,0.309432763193673,0.117537710552448,0.242923373788595
0.16,0.365760827490977,0.322852382775596,0.145067991519585,0.263872613533116
0.163333333333333,0.370585855870307,0.333714341270514,0.171043743511545,0.282256399735936
0.166666666666667,0.372127992906177,0.341846110820419,0.19519447390769,0.2978957926191
0.17,0.370375001143819,0.347103267584364,0.217268716130382,0.310638460415059
