"test","sa1","sa2","sa3"
0,0.534960665897349,0.325442262274527,0.000999999445513334
0.00333333333333333,0.498351281964844,0.283907857030426,0.0400760641380651
0.00666666666666667,0.460556222821262,0.242029153778808,0.078883923785857
0.01,0.421709826304063,0.200012179952162,0.116214284602349
0.0133333333333333,0.381962790496506,0.158073268735654,0.151836579181477
0.0166666666666667,0.341481466538152,0.116437420151793,0.1855292504949
0.02,0.300446926600195,0.0753367764908147,0.217079908837654
0.0233333333333333,0.259053811020456,0.0350114274792987,0.246287210084304
0.0266666666666667,0.217508963221924,0.0044414665857791,0.272962892517325
0.03,0.176029868394513,0.0424167564505415,0.29693377698161
0.0333333333333333,0.134842929963902,0.0790053688931773,0.318043672659974
0.0366666666666667,0.094181691225728,0.113882163319303,0.336155156703537
0.04,0.0542856326762724,0.146819675124111,0.351151203507778
0.0433333333333333,0.0154122590479376,0.177601836368515,0.362936642925756
0.0466666666666667,0.0222953526966395,0.206024705048819,0.371439429205914
0.05,0.0584518815881586,0.23189851732258,0.376611704728202
0.0533333333333333,0.0929032584421833,0.255049836582089,0.378430644918673
0.0566666666666667,0.125414274791462,0.275323625089356,0.376899073112128
0.06,0.155767321259515,0.292585180572312,0.372045836611792
0.0633333333333333,0.183757932175549,0.306721903618956,0.363925937750566
0.0666666666666667,0.209196580398413,0.317644869168811,0.352620416368776
0.07,0.231910869371413,0.325290179313451,0.338235982764251
0.0733333333333333,0.251747687385922,0.32962007769565,0.320904402819038
0.0766666666666667,0.268575226894011,0.330623808753305,0.300781639643997
0.08,0.28228482397537,0.328318208090007,0.278046758700167
0.0833333333333333,0.292792586367401,0.322748013414832,0.252900605974067
0.0866666666666667,0.300040784041966,0.313985888772214,0.225564271498585
0.09,0.303998980095423,0.30213215815225,0.196277353645391
0.0933333333333333,0.304664883144331,0.287314248000154,0.165296044282815
0.0966666666666667,0.302064905879995,0.269685841600654,0.132891065453398
0.1,0.296254418032831,0.249425751781953,0.0993455259233922
0.103333333333333,0.287317685740583,0.226736521883164,0.0649529782562483
0.106666666666667,0.275367493178375,0.201842768579681,0.030018392369273
0.11,0.260544446259072,0.174989284398642,0.00528081648094282
0.113333333333333,0.243015962219432,0.146438924144789,0.0403210456593674
0.116666666666667,0.222974952963649,0.116470314388148,0.0750684241466305
0.12,0.200638214200864,0.0853754817646278,0.109145700716521
0.123333333333333,0.176244536949011,0.0534578490125176,0.142252476419014
0.126666666666667,0.150052563823762,0.0210363009811687,0.174098772421343
0.13,0.122338423299683,0.0116665336683719,0.204405893434284
0.133333333333333,0.0933932075249671,0.0441546203074005,0.232908606728531
0.136666666666667,0.0635205188639759,0.0762377242715881,0.259357406939264
0.14,0.0330357852825197,0.107580605809175,0.28352069354067
0.143333333333333,0.00244374295707283,0.137877191002059,0.305186808573196
0.146666666666667,0.0285567587563169,0.166832945478785,0.324165906693539
0.15,0.0589745579043272,0.194166561735844,0.340291637225128
0.153333333333333,0.0887397063432167,0.219612472641521,0.353422621559548
0.156666666666667,0.117537710552448,0.242923373788595,0.363443711862238
0.16,0.145067991519585,0.263872613533116,0.370267019339914
0.163333333333333,0.171043743511545,0.282256399735936,0.373832702565364
0.166666666666667,0.19519447390769,0.2978957926191,0.374109508598867
0.17,0.217268716130382,0.310638460415059,0.371095061911632
0.173333333333333,0.237036626624477,0.320360178596295,0.364815898402054
0.176666666666667,0.254292386230373,0.326966056736774,0.355327244089549
0.18,0.268856365260892,0.330391480109073,0.342712540359752
0.183333333333333,0.280577023259954,0.330602756150026,0.327082719905486
0.186666666666667,0.289332520110185,0.327597458983212,0.308575239749204
0.19,0.295032019320982,0.321404468270996,0.287352879940593
0.193333333333333,0.297616668111873,0.312083701767202,0.263602318710934
0.196666666666667,0.297060242634802,0.299725544032985,0.237532497093024
0.2,0.293369450441472,0.284449976842456,0.209372788473898
0.203333333333333,0.286583886107395,0.266405419826314,0.179370991861087
0.206666666666667,0.276775639754732,0.245767292882408,0.147791174063619
0.21,0.264048562044237,0.222736314865962,0.114911405271392
0.213333333333333,0.248537193008002,0.197536556224064,0.0810215206411252
0.216666666666667,0.230405365857981,0.170413267107654,0.0464217182801004
0.22,0.209844500659247,0.141630509036537,0.0114421844125792
0.223333333333333,0.187071606641835,0.111468635624186,0.0237351927982527
0.226666666666667,0.162327016430907,0.0802217409267271,0.0586260893977301
0.23,0.135871882346117,0.0481956998394277,0.0930100764096624
0.233333333333333,0.107985481316191,0.0157173592632422,0.126576802004
0.236666666666667,0.0789624382974969,0.0169968437888321,0.159029674684738
0.24,0.0491103811407844,0.0494654981751436,0.190082690321718
0.243333333333333,0.0187548222579416,0.0814681366071468,0.219462363441695
0.246666666666667,0.0118817417732841,0.112679889708954,0.246910007008045
0.25,0.0422922564102998,0.142795183812456,0.272183970543649
0.253333333333333,0.072280079235474,0.171520214729543,0.295061752644937
0.256666666666667,0.101506175585065,0.198574971357466,0.315341953164702
0.26,0.129660083181406,0.223695795404,0.332846042822706
0.263333333333333,0.156444129207831,0.246637901595551,0.347419932839879
0.266666666666667,0.181575411043805,0.267177745647677,0.358935330065475
0.27,0.204788565243587,0.285115195749891,0.36729086538779
0.273333333333333,0.225838508387246,0.300275479929982,0.372412985396541
0.276666666666667,0.244503004084996,0.312510887996976,0.374256599426698
0.28,0.260585002027368,0.321702210548145,0.372805476296567
0.283333333333333,0.273914716265228,0.327759900620537,0.368072387262615
0.286666666666667,0.284351417847387,0.330624946493986,0.360098993942497
0.29,0.291784921675322,0.330269447067597,0.348955482194031
0.293333333333333,0.296136751315989,0.326696884176896,0.334739945168027
0.296666666666667,0.29736096919307,0.319942089195167,0.317577520964521
0.3,0.295444663243104,0.310070904255683,0.297619292507045
0.303333333333333,0.290408084822008,0.297179541422044,0.275040959411038
0.306666666666667,0.282304436376068,0.281393646103034,0.250041293791945
0.31,0.271219311129118,0.262867073943982,0.222840394247325
0.313333333333333,0.25726979075966,0.241780393335403,0.193677755010033
0.316666666666667,0.240603210730016,0.218339128619222,0.1628101717157
0.32,0.22139560658792,0.192771762247918,0.130509516117796
0.323333333333333,0.199849858255314,0.165327518246568,0.0970604529785637
0.326666666666667,0.176193553297664,0.136273956840054,0.0627584112813967
0.33,0.150676595283662,0.105894431940218,0.0279110504870439
0.333333333333333,0.123568592796053,0.0744855624804193,0.00727877329732059
0.336666666666667,0.0951560928451868,0.0423556426257901,0.0422609937627948
0.34,0.0657398570041696,0.00984875873749947,0.0769231040946846
0.343333333333333,0.0356335323417504,0.0228637646365701,0.110911377679969
0.346666666666667,0.00522717142239771,0.0552663371113865,0.143924182978616
0.35,0.025432012282858,0.0871381669505562,0.175670318196837
0.353333333333333,0.0556957982077416,0.118160878462858,0.205870095455254
0.356666666666667,0.0853788993671226,0.148030958487784,0.234257554776528
0.36,0.11416184657456,0.176456942850097,0.260582738383154
