"D1","y1","D2","y2"
0,-0.0626453810742332,0,-0.0626453810742332
0.111111111111111,-0.122348726738811,0.04,0.268775685576026
0.222222222222222,0.578358635803785,0.13,-0.487675035665936
0.333333333333333,-0.328916857448951,0.26,1.17213654235125
0.444444444444444,0.518457915725597,0.416666666666667,0.386561888292647
0.555555555555556,0.0854103085888956,0.583333333333333,0.196587103749538
0.666666666666667,0.564694034403439,0.74,0.538232598987646
0.777777777777778,0.644629236291887,0.87,0.862332721839985
0.888888888888889,0.860311346898294,0.96,0.950585594750492
1,0.969461161284364,1,0.969461161284364
0,0.151178116845085,0,0.151178116845085
0.111111111111111,-0.101728735519877,0.04,0.289395676794961
0.222222222222222,0.59979743899061,0.13,-0.466236232479111
0.333333333333333,-0.709914926380481,0.26,0.791138473419724
0.444444444444444,0.598000230358372,0.416666666666667,0.466104202925422
0.555555555555556,0.162963786099174,0.583333333333333,0.274140581259816
0.666666666666667,0.514332102850696,0.74,0.487870667434903
0.777777777777778,0.665180386847495,0.87,0.882883872395594
0.888888888888889,0.884855331242754,0.96,0.975129579094952
1,1.05939013212175,1,1.05939013212175
