"D.1","D.2","D.3","D.4","D.5"
0.553021816880986,0.322497753710246,0.477974083483966,0.0550749306102051,0.97782623678953
0.144847803438783,0.997276702125329,0.743174633579841,0.0695634908677233,0.456356349388189
0.989095012815992,0.308754251586213,0.639464870546952,0.410283087421734,0.0827636100282293
0.417127366569987,0.854921947805119,0.234315917701326,0.591799152068151,0.995671776817801
0.682820127259488,0.973879676968709,0.863612640554029,0.959659937145644,0.15762976076278
0.861992935785097,0.0879463589789255,0.0588973668948149,0.226623051459942,0.243394074487216
0.0262519384123381,0.3633796310255,0.56064458175862,0.913718795941133,0.0115583304647494
0.470950261667942,0.955498172316064,0.991227601797143,0.223138513014971,0.763512647619706
0.807390582536147,0.793980884654565,0.656018271638174,0.163667376386937,0.928466234616778
0.0046701950894905,0.848656302415823,0.908626237869877,0.184603439691142,0.205533089004643
0.825684399687447,0.446531949753641,0.216156551970716,0.928793353769287,0.815298680204159
0.38818638173226,0.107749413243225,0.717765590086649,0.289555502360411,0.843710153574914
0.313338841759684,0.01504001976222,0.148082422745785,0.804529691622616,0.177710809079921
0.772772742621781,0.674479701982103,0.728154892830736,0.713599940280414,0
0.589688394882162,0.776382862345632,0.0922331059407076,0.753943070204843,0.415093113942095
0.628265381399511,0,0.436683756718209,0.361704672789084,0.342615749905939
1,0.710309622482459,0.281618204669988,0.259029015676254,0.539399573850108
0.234531687021519,0.170021843407843,0.24467900921918,0.156812131678271,0.395617489722015
0.361727228085815,0.919329934155526,0.323556638252376,0.036736077598202,0.0655925604212585
0.905181509113944,0.225278005641172,0.771995816529409,0.879750823270522,0.368806230164433
0.615335012129191,0.603233267582616,0.916512202141583,0.550414203528436,0.88045119836807
0.542496778829152,0.472200869727748,1,0.833962447818709,0.237005872969438
0.515472340028914,0.553661670260968,0.183736446837016,0.325215369989912,0.0187566601790621
0.785108828079669,0.0403897976778727,0.896730557062599,0.0169434382620565,0.484542283479365
0.694913617514635,0.0579179725349462,0.297780424229312,0.730280567756297,0.947437252250732
0.065898210430607,0.217046435849524,0.624788680732825,0,0.703144555874443
0.953327133968366,0.872871598344106,0.16928391623989,1,0.285727379672519
0.963212260401076,0.516041118076686,0.816008874776836,0.0908646013948979,0.672135618642299
0.279051517690969,0.67912350968346,0.12492967974155,0.0118454595125176,0.862542789524365
0.0436340132838295,0.722256263511654,0.832970856398718,0.784101479034723,0.800463686952036
0.718025947956518,0.401264162916953,0.00973290318678205,0.604757796942499,0.12431373240592
0.869808074490508,0.929750790787492,0.568025032985154,0.640324735327511,0.498162252583625
0.264364567546241,0.890059214340603,0.67894603987394,0.896299078207829,0.660185802119565
0.375465292491967,0.584770249672008,0.0417517738827563,0.975178838236109,0.585766279435197
0.933227726166,0.150292544347743,0.368812792650237,0.487285619714568,0.74413330064973
0.655947119675486,0.243048113464474,0.962592919821386,0.133882359627336,0.0345232526933371
0.107984826733606,0.137897106643647,0.953660695032381,0.94768224014078,0.533044598411873
0.216194352044358,0.751157746906044,0.468337012061283,0.500638658173415,0.145343890906997
0.117154116930289,0.820567633014084,0.0181974297484721,0.303864777105501,0.726218197566009
0,0.0303690729806447,0.507089140581811,0.566614621265829,0.607364872375739
0.200841545589017,0.25266538150455,0,0.857335387358652,0.910731228038642
0.983952460489715,1,0.431333352631488,0.821269985493072,0.892969118017314
0.476649652751691,0.19126772948425,0.399279919809386,0.991890722111364,0.101265275118841
0.335238368301065,0.377819186154758,0.853998807887261,0.463730714960835,0.430136424543718
0.013934428838258,0.478622361176955,0.0824506821168267,0.440355361486229,0.964414722073019
0.889125265473497,0.41142732209724,0.977139636349719,0.346413125742359,1
0.438837879434508,0.632308655158384,0.587056426998696,0.114673362333621,0.277179987593749
0.174613880162693,0.0751428680579742,0.806992425000445,0.634275007813741,0.0565187802704598
0.748777978595387,0.986163930635983,0.140225065181064,0.400103344875411,0.634750417121382
0.0876389664855914,0.527574883643786,0.341691598729783,0.684663249478344,0.318357180992916
