"D1","D2","D3","D4"
0,0.982656177984748,0.0446803970629872,0.0262949648874116
0.111111111111111,0.918691476207533,0.143574396357564,0.128813122204568
0.222222222222222,0.813742335544075,0.245375878741743,0.234934521309671
0.333333333333333,0.678081909106173,0.347226055995511,0.341000132380548
0.444444444444444,0.524989584635339,0.449074846272126,0.447006833634153
0.555555555555556,0.369451105507724,0.550925153727877,0.552993158688985
0.666666666666667,0.226691661760646,0.652773944004492,0.658999861398524
0.777777777777778,0.110685542411601,0.754624121258259,0.765065473784571
0.888888888888889,0.0327882346846338,0.856425603642435,0.871186874846274
1,0.000624869802516859,0.955319602937018,0.9737050338692
