"D2.1","D2.2"
0.92560952828934,0.875083567765844
1,0.574477364887131
0.478386289409374,0.29042162609367
0.584407432075164,0
0.80170256435433,0.699205097716706
0.535568145200736,0.816561397184197
0.402631621639734,0.630422814302958
0.179582562656243,0.752082225746506
0.699729994377848,0.957948787863922
0.0303176297534292,0.913893250379243
0.872635949188464,0.353986975431313
0,0.231713087202367
0.344022502390024,0.127214778261686
0.0809070503403402,0.532823381975371
0.13130104102592,0.039323353810037
0.961203514616307,0.075158220009247
0.641697007216291,0.476409582987127
0.745136246944081,0.186203046683028
0.300303688282512,1
0.246230354130661,0.403324336590535
