"D1","D2","D3"
0.0446803970629872,0.0262949648874116,0
0.143574396357564,0.128813122204568,0.109509110034399
0.245375878741743,0.234934521309671,0.221081703204534
0.347226055995511,0.341000132380548,0.332649173550262
0.449074846272126,0.447006833634153,0.444216387447054
0.550925153727877,0.552993158688985,0.555783612552953
0.652773944004492,0.658999861398524,0.667350826449746
0.754624121258259,0.765065473784571,0.778918296795472
0.856425603642435,0.871186874846274,0.890490889965604
0.955319602937018,0.9737050338692,1
